Period,Sender,Receiver,Group,OthersContribution,OthersPercentContribution,Points
11,19,12,4,13,65,0
11,20,10,1,20,100,0
11,20,15,1,20,100,0
11,20,23,1,0,0,0
11,21,5,3,5,25,0
11,21,7,3,10,50,0
11,21,22,3,6,30,0
11,22,5,3,5,25,0
11,22,7,3,10,50,0
11,22,21,3,20,100,0
11,23,10,1,20,100,0
11,23,15,1,20,100,0
11,23,20,1,20,100,0
11,24,13,2,18,90,0
11,24,17,2,0,0,-5
11,24,18,2,15,75,0
12,1,18,3,17,85,0
12,1,20,3,20,100,0
12,1,22,3,8,40,-3
12,2,6,5,10,50,0
12,2,10,5,20,100,0
12,2,21,5,15,75,0
12,3,8,6,20,100,0
12,3,12,6,10,50,-3
12,3,16,6,17,85,0
12,4,14,1,20,100,0
12,4,17,1,5,25,-4
12,4,19,1,10,50,-2
12,5,7,4,15,75,0
12,5,9,4,13,65,0
12,5,15,4,20,100,0
12,6,2,5,10,50,0
12,6,10,5,20,100,0
12,6,21,5,15,75,0
12,7,5,4,10,50,0
12,7,9,4,13,65,0
12,7,15,4,20,100,0
12,8,3,6,19,95,0
12,8,12,6,10,50,-1
12,8,16,6,17,85,0
12,9,5,4,10,50,0
12,9,7,4,15,75,0
12,9,15,4,20,100,0
12,10,2,5,10,50,0
12,10,6,5,10,50,0
12,10,21,5,15,75,0
12,11,13,2,17,85,0
12,11,23,2,0,0,-2
12,11,24,2,20,100,0
12,12,3,6,19,95,0
12,12,8,6,20,100,0
12,12,16,6,17,85,0
12,13,11,2,19,95,0
12,13,23,2,0,0,-3
12,13,24,2,20,100,0
12,14,4,1,20,100,0
12,14,17,1,5,25,-3
12,14,19,1,10,50,-1
12,15,5,4,10,50,0
12,15,7,4,15,75,0
12,15,9,4,13,65,0
12,16,3,6,19,95,0
12,16,8,6,20,100,0
12,16,12,6,10,50,0
12,17,4,1,20,100,0
12,17,14,1,20,100,0
12,17,19,1,10,50,0
12,18,1,3,20,100,0
12,18,20,3,20,100,0
12,18,22,3,8,40,0
12,19,4,1,20,100,0
12,19,14,1,20,100,0
12,19,17,1,5,25,-2
12,20,1,3,20,100,0
12,20,18,3,17,85,0
12,20,22,3,8,40,0
12,21,2,5,10,50,0
12,21,6,5,10,50,0
12,21,10,5,20,100,0
12,22,1,3,20,100,0
12,22,18,3,17,85,0
12,22,20,3,20,100,0
12,23,11,2,19,95,0
12,23,13,2,17,85,0
12,23,24,2,20,100,0
12,24,11,2,19,95,0
12,24,13,2,17,85,0
12,24,23,2,0,0,-4
13,1,4,5,20,100,0
13,1,13,5,15,75,-2
13,1,14,5,20,100,0
13,2,6,4,10,50,0
13,2,8,4,17,85,0
13,2,17,4,3,15,-1
13,3,10,6,20,100,0
13,3,11,6,18,90,0
13,3,21,6,15,75,-1
13,4,1,5,19,95,0
13,4,13,5,15,75,-2
13,4,14,5,20,100,0
13,5,9,3,13,65,0
13,5,12,3,13,65,0
13,5,24,3,20,100,0
13,6,2,4,10,50,0
13,6,8,4,17,85,0
13,6,17,4,3,15,0
13,7,15,1,20,100,0
13,7,16,1,17,85,0
13,7,18,1,20,100,0
13,8,2,4,10,50,0
13,8,6,4,10,50,0
13,8,17,4,3,15,-1
13,9,5,3,10,50,0
13,9,12,3,13,65,0
13,9,24,3,20,100,0
13,10,3,6,19,95,0
13,10,11,6,18,90,0
13,10,21,6,15,75,0
13,11,3,6,19,95,0
13,11,10,6,20,100,0
13,11,21,6,15,75,-1
13,12,5,3,10,50,0
13,12,9,3,13,65,0
13,12,24,3,20,100,0
13,13,1,5,19,95,0
13,13,4,5,20,100,0
13,13,14,5,20,100,0
13,14,1,5,19,95,0
13,14,4,5,20,100,0
13,14,13,5,15,75,0
13,15,7,1,15,75,0
13,15,16,1,17,85,0
13,15,18,1,20,100,0
13,16,7,1,15,75,0
13,16,15,1,20,100,0
13,16,18,1,20,100,0
13,17,2,4,10,50,0
13,17,6,4,10,50,0
13,17,8,4,17,85,0
13,18,7,1,15,75,0
13,18,15,1,20,100,0
13,18,16,1,17,85,0
13,19,20,2,20,100,0
13,19,22,2,10,50,0
13,19,23,2,0,0,-2
13,20,19,2,10,50,0
13,20,22,2,10,50,0
13,20,23,2,0,0,0
13,21,3,6,19,95,0
13,21,10,6,20,100,0
13,21,11,6,18,90,0
13,22,19,2,10,50,0
13,22,20,2,20,100,0
13,22,23,2,0,0,0
13,23,19,2,10,50,0
13,23,20,2,20,100,0
13,23,22,2,10,50,0
13,24,5,3,10,50,-2
13,24,9,3,13,65,0
13,24,12,3,13,65,0
14,1,7,6,15,75,-1
14,1,9,6,13,65,-1
14,1,17,6,0,0,-4
14,2,12,1,12,60,0
14,2,13,1,15,75,0
14,2,22,1,7,35,0
14,3,16,4,17,85,0
14,3,23,4,0,0,-5
14,3,24,4,20,100,0
14,4,6,3,10,50,-3
14,4,10,3,20,100,0
14,4,14,3,17,85,0
14,5,15,2,20,100,0
14,5,18,2,20,100,0
14,5,19,2,10,50,0
14,6,4,3,20,100,0
14,6,10,3,20,100,0
14,6,14,3,17,85,0
14,7,1,6,19,95,0
14,7,9,6,13,65,0
14,7,17,6,0,0,0
14,8,11,5,19,95,0
14,8,20,5,20,100,0
14,8,21,5,15,75,0
14,9,1,6,19,95,0
14,9,7,6,15,75,0
14,9,17,6,0,0,-3
14,10,4,3,20,100,0
14,10,6,3,10,50,-2
14,10,14,3,17,85,0
14,11,8,5,17,85,0
14,11,20,5,20,100,0
14,11,21,5,15,75,-2
14,12,2,1,8,40,0
14,12,13,1,15,75,0
14,12,22,1,7,35,0
14,13,2,1,8,40,-1
14,13,12,1,12,60,0
14,13,22,1,7,35,-1
14,14,4,3,20,100,0
