Period,Subject,Group,Profit,TotalProfit,Participate,Total_Deduct,Total_First_Income,Total_Cost,contribution,percentContribution,sumContribution,n,Profit1Own,Profit1Group,Profit1,Cost,ReceivedPoints,Reduction,Profit2,Temp_Profit,Punish10,Punish10u,Punish10d,TotalProfitEnd,Punish20,Punish20u,Punish20d
3,20,6,21,94.4,0,-6,78.4,3,12,60,35,4,8,14,22,1,0,0,21,21,-,-,-,69.4,-,-,-
3,21,2,30.2,104,0,0,82,3,15,75,63,4,5,25.2,30.2,0,0,0,30.2,30.2,-,-,-,79,-,-,-
3,22,3,26.8,88.2,0,0,66.2,3,12,60,47,4,8,18.8,26.8,0,0,0,26.8,26.8,-,-,-,63.2,-,-,-
3,23,4,19.6,53.8,0,-78,106.8,0,0,0,29,4,20,11.6,31.6,0,-4,-12,19.6,31.6,-,-,-,28.8,-,-,-
3,24,6,25,92.2,0,0,72.2,5,8,40,35,4,12,14,26,1,0,0,25,25,-,-,-,67.2,-,-,-
4,1,1,26.2,100.2,0,-6,81.2,0,15,75,53,4,5,21.2,26.2,0,0,0,26.2,26.2,-,-,-,75.2,-,-,-
4,2,5,14.6,103.8,0,-3,98.8,17,9,45,34,4,11,13.6,24.6,7,-1,-3,14.6,17.6,-,-,-,78.8,-,-,-
4,3,5,13.6,119.6,0,-9,113.6,10,10,50,34,4,10,13.6,23.6,10,0,0,13.6,13.6,-,-,-,94.6,-,-,-
4,4,1,21.2,98.6,0,-9,91.6,9,20,100,53,4,0,21.2,21.2,0,0,0,21.2,21.2,-,-,-,73.6,-,-,-
4,5,4,23.6,129,0,-18,122,0,2,10,29,4,18,11.6,29.6,0,-2,-6,23.6,29.6,-,-,-,104,-,-,-
4,6,6,27,116.6,0,-30,121.6,0,4,20,35,4,16,14,30,0,-1,-3,27,30,-,-,-,91.6,-,-,-
4,7,4,16.6,48.6,0,-114,137.6,0,0,0,29,4,20,11.6,31.6,0,-5,-15,16.6,31.6,-,-,-,23.6,-,-,-
4,8,6,11,99.6,0,-3,77.6,0,20,100,35,4,0,14,14,0,-1,-3,11,14,-,-,-,74.6,-,-,-
4,9,2,23.6,79,0,0,86,32,10,50,34,4,10,13.6,23.6,0,0,0,23.6,23.6,-,-,-,54,-,-,-
4,10,3,25.2,110.2,0,-18,114.2,11,14,70,63,4,6,25.2,31.2,0,-2,-6,25.2,31.2,-,-,-,85.2,-,-,-
4,11,6,27,96.4,0,-42,124.4,11,4,20,35,4,16,14,30,3,0,0,27,27,-,-,-,71.4,-,-,-
4,12,2,26.6,120.2,0,-6,101.2,0,7,35,34,4,13,13.6,26.6,0,0,0,26.6,26.6,-,-,-,95.2,-,-,-
